0.1,"British Columbia","--Tout le fenetre--",
0,"Fraser Valley","Fraser Valley",-122.248327102567:50.1248676942559,-121.300492182406:50.0515773658857,-120.824178892061:48.9990380127711,-122.449139558474:49.0014389427441,-122.986555739107:49.8509839514403,-122.646047468800:49.9614582264912,-122.761101489045:50.1373882218398,
0,"Greater Vancouver","Greater Vancouver",-122.807308029661:49.5814510716065,-122.449139558474:49.0014389427441,-123.302100937611:49.001830792395,-123.649413315483:49.2684652099795,
0,"Kitimat-Stikine","Kitimat-Stikine",-128.447514206051:56.0038967330791,-126.642209959532:55.1232127547268,-127.823430277380:55.0030798500177,-127.507141652531:54.370718282338,-128.077793095906:53.9097463417686,-127.259167285572:53.2972579623615,-127.223597923336:52.8254523856079,-128.136895750957:52.6861948248782,-129.221553413055:52.1246574141478,-131.087598312206:53.5674178239582,-130.097219531376:53.981729999067,-129.395038430715:53.7414175543556,-129.385240641260:54.3578581941672,-129.716679485233:54.5183250382439,-129.472640119097:54.6531762509194,-130.681321219707:54.760022463043,-129.992355248333:55.2971525344944,-130.050155036488:56.0593407276292,-131.862815036195:56.6120949143915,-133.090675937796:57.9930647281168,-129.011162893911:58.0072188649307,-128.992170512107:57.1576728951933,-127.849263139409:56.562539220054,
0,"Kootenay-Boundary","Kootenay-Boundary",-118.287031130393:49.8110474831412,-118.151150935510:49.2514460174443,-117.668604078174:49.2674209426447,-117.443809357503:48.9987523691734,-119.273083685469:48.9987092210019,-119.353428025682:49.6775498780683,
0,"Mount Waddington","Mount Waddington",-125.270074277992:51.3792232476866,-125.640328541588:50.6240459510578,-126.297777174454:50.5286695607641,-125.982486072567:50.2881276031096,-126.376087462829:49.9077048060850,-127.09254555043:50.340224971693,-128.09146383965:49.9983954181825,-128.970653088476:50.6720517324643,-128.753327669641:51.1016527879338,-126.956457959139:51.2330333283851,-126.701527900311:51.4810074635773,-126.020579167605:51.3761330525697,-125.721290382339:52.0137092877089,-125.235360897463:51.7533200791534,
0,"Nanaimo","Nanaimo",-124.343822335290:49.4363425799996,-123.425387466487:49.1139991592813,-124.38263207684:48.9860688064864,-124.960454519283:49.4289231106768,
0,"North Okanagan","North Okanagan",-119.630834720748:50.3941278012215,-119.297064965136:50.415394812723,-119.158783949747:50.7491004545817,-118.228679778211:50.8876109136378,-118.287031130393:49.8110474831412,-119.026373717373:49.8109354837731,-118.774055098302:50.0241655681701,-119.744169855738:50.2364759082797,
0,"Okanagan-Similkameen","Okanagan-Similkameen",-120.035310477778:49.8548621590866,-119.353428025682:49.6775498780683,-119.273083685469:48.9987092210019,-120.824178892061:48.9990380127711,-120.801937013893:49.292584977114,-121.082030889663:49.3549782997752,-120.872437697315:49.8492972785885,
0,"Peace River","Peace River",-124.845611749226:58.0087586109953,-119.977248553388:58.0068363180566,-119.979501247270:53.8019063979949,-120.807128937766:54.4961869409696,-121.38164120423:54.5349145777472,-122.581781027202:55.4111918807914,-122.980654825198:55.40540032498,-123.358343026758:55.8659588106735,-123.954855592995:55.9383437852067,-124.042833993357:55.5411562211214,-124.472568203422:56.1361380983115,-125.113820001133:56.3086066642136,-125.952175630062:56.150066354995,-126.297669872630:56.6766686283319,-127.537472370691:56.745638653845,-127.727447756669:57.1296103434226,-127.361131451278:57.5864289815292,-126.784532068726:57.5806173791801,-126.853295861995:57.8980793465871,
0,"Powell River","Powell River",-123.906192455167:50.3581454366474,-124.172532206286:50.2201941335507,-124.070382136129:49.4389676163046,-124.343822335290:49.4363425799996,-124.918112284796:49.9823164256593,-124.314785575367:50.8576523308887,-123.726508667681:50.7063075380216,
